generation,ave_Payoff
0,0.022614148976124578
1,0.0101186948454715
2,0.006131403358160805
3,0.0038599412182304563
4,0.0025674124231327374
5,0.0018136585200931345
6,0.0013660966445523566
7,0.001100135652310834
8,9.43079698620448E-4
9,8.516078491640033E-4
10,7.997308123536661E-4
11,7.718050863877604E-4
12,7.584167148707221E-4
13,7.539111427215749E-4
14,7.548873334202269E-4
15,7.593036308146187E-4
16,7.659317535594538E-4
17,7.74029139820561E-4
18,7.83144840744508E-4
19,7.93004166215211E-4
20,8.034398166186024E-4
21,8.14350521178646E-4
22,8.256760203055576E-4
23,8.942168596855885E-4
24,8.578390277465368E-4
25,8.6508593867205E-4
26,8.80732471109018E-4
27,8.903524857513872E-4
28,9.020711622075342E-4
29,9.149644039494431E-4
30,9.286676002803444E-4
31,9.430003673474242E-4
32,9.57873816670462E-4
33,9.732471583009738E-4
34,9.891056580432996E-4
35,0.0010054490922995598
36,0.0010271510937175006
37,0.001044396268504021
38,0.0010623388918408103
39,0.0010808263649213126
40,0.0010998797143419654
41,0.0011195216090161377
42,0.001139776246904952
43,0.001160669323751605
44,0.0012009579510769235
45,0.0012039253489756212
46,0.0012268693543224865
47,0.0012505910446593206
48,0.0012751031589266978
49,0.0013004415752391136
50,0.0013266442881825586
51,0.0013537515186787114
52,0.0013818058697445106
53,0.0014108524961606896
54,0.0014409392890627742
55,0.0014721170767359986
56,0.0015044398431028555
57,0.0015379649656021444
58,0.0015727534743803645
59,0.0016088703349571589
60,0.0016463847567923888
61,0.0016853705304791485
62,0.0017259063966206254
63,0.0017680764498255806
64,0.0018119705816846189
65,0.0018576849670753329
66,0.0019053225986983635
67,0.001954993875379123
68,0.0020068172503941834
69,0.00206091994691192
70,0.00213765406568227
71,0.002175608628403333
72,0.002237340502333867
73,0.0023019988185589927
74,0.0023697324308300815
75,0.0024407408274112596
76,0.0025152400478929897
77,0.0025934642609025467
78,0.0026756676180666743
79,0.0027621263326837587
80,0.002853141014450395
81,0.002949039296814372
82,0.0030501787994869235
83,0.0031569504757017097
84,0.00326978240218106
85,0.0033891440797358553
86,0.0035791266676359233
87,0.00368681843738228
88,0.0038059743015720947
89,0.003947703797630305
90,0.004104420336153185
91,0.004273952046718704
92,0.0044559427558145985
93,0.004650882288438355
94,0.004902602484681624
95,0.005127469443361898
96,0.005371166225079137
