name,stra.1,stra.15,stra.20,stra.33,stra.65,stra.69,stra.71,stra.100,stra.129,stra.131,stra.135,stra.138,stra.165,stra.195,stra.197,stra.205,stra.229,stra.233,stra.237,stra.257,
2359,0.836616,1.62831e-26,0,0.0905248,0.0280132,0.000888048,1.08694e-05,0,2.90043e-08,3.03781e-10,1.93379e-77,0,2.8825e-50,4.0811e-38,0.0438971,1.87173e-28,4.27871e-05,7.42165e-16,6.6508e-21,3.79e-31,
2360,0.836619,1.50029e-26,0,0.0905178,0.0280133,0.000888112,9.99362e-06,0,2.90043e-08,2.85395e-10,1.77629e-77,0,2.88106e-50,3.82485e-38,0.0439013,1.87196e-28,4.26998e-05,7.45221e-16,6.64197e-21,3.78981e-31,
2361,0.836623,1.38233e-26,0,0.0905109,0.0280134,0.000888177,9.18844e-06,0,2.90042e-08,2.68121e-10,1.63162e-77,0,2.87961e-50,3.5847e-38,0.0439055,1.8722e-28,4.26127e-05,7.48291e-16,6.63317e-21,3.78962e-31,
2362,0.836626,1.27364e-26,0,0.090504,0.0280135,0.000888241,8.44813e-06,0,2.90042e-08,2.51893e-10,1.49873e-77,0,2.87817e-50,3.35963e-38,0.0439097,1.87243e-28,4.25258e-05,7.51373e-16,6.62439e-21,3.78943e-31,
2363,0.836087,1.17296e-26,0,0.090447,0.0279955,0.000887813,7.76269e-06,0,2.89854e-08,2.36527e-10,1.37598e-77,0,2.87419e-50,3.14718e-38,0.0438895,1.87184e-28,4.23917e-05,7.54132e-16,6.60919e-21,3.79163e-31,
2364,0.836277,1.08112e-26,0,0.0904658,0.0280018,0.00088813,7.13902e-06,0,2.89918e-08,2.22281e-10,1.26432e-77,0,2.87297e-50,2.95055e-38,0.0439062,1.87274e-28,4.23022e-05,7.57507e-16,6.60058e-21,3.79297e-31,
2365,0.836399,9.96338e-27,0,0.0904753,0.0280059,0.000888355,6.56489e-06,0,2.89959e-08,2.08869e-10,1.16158e-77,0,2.87167e-50,2.76588e-38,0.0439183,1.8734e-28,4.22143e-05,7.60799e-16,6.59196e-21,3.79375e-31,
2366,0.836478,9.18136e-27,0,0.0904787,0.0280085,0.000888521,6.0366e-06,0,2.89985e-08,1.96252e-10,1.06712e-77,0,2.87032e-50,2.59257e-38,0.0439275,1.87391e-28,4.21273e-05,7.64045e-16,6.58335e-21,3.79418e-31,
2367,0.836529,8.46031e-27,0,0.0904784,0.0280102,0.000888651,5.55064e-06,0,2.90001e-08,1.84389e-10,9.80293e-78,0,2.86894e-50,2.43001e-38,0.0439349,1.87432e-28,4.20411e-05,7.67264e-16,6.57475e-21,3.79439e-31,
2368,0.836563,7.79564e-27,0,0.0904757,0.0280114,0.000888757,5.10368e-06,0,2.90012e-08,1.73237e-10,9.00505e-78,0,2.86754e-50,2.27756e-38,0.0439411,1.87466e-28,4.19555e-05,7.70473e-16,6.56617e-21,3.79445e-31,
2369,0.836585,7.18305e-27,0,0.0904714,0.0280121,0.000888848,4.69266e-06,0,2.90018e-08,1.62757e-10,8.27196e-78,0,2.86612e-50,2.13464e-38,0.0439466,1.87497e-28,4.18703e-05,7.73679e-16,6.5576e-21,3.79442e-31,
2370,0.836601,6.61852e-27,0,0.0904662,0.0280126,0.00088893,4.3147e-06,0,2.90022e-08,1.52909e-10,7.59846e-78,0,2.8647e-50,2.00067e-38,0.0439517,1.87526e-28,4.17854e-05,7.76888e-16,6.54906e-21,3.79434e-31,
2371,0.836611,6.09832e-27,0,0.0904603,0.028013,0.000889006,3.96716e-06,0,2.90024e-08,1.43656e-10,6.97975e-78,0,2.86328e-50,1.87508e-38,0.0439564,1.87553e-28,4.17009e-05,7.80105e-16,6.54053e-21,3.79422e-31,
2372,0.836619,5.61897e-27,0,0.090454,0.0280132,0.000889078,3.64761e-06,0,2.90025e-08,1.34962e-10,6.4114e-78,0,2.86185e-50,1.75738e-38,0.0439609,1.87578e-28,4.16167e-05,7.83331e-16,6.53203e-21,3.79408e-31,
2373,0.836626,5.1773e-27,0,0.0904475,0.0280134,0.000889148,3.35379e-06,0,2.90026e-08,1.26794e-10,5.88931e-78,0,2.86042e-50,1.64705e-38,0.0439654,1.87604e-28,4.15327e-05,7.86568e-16,6.52354e-21,3.79392e-31,
2374,0.83663,4.77034e-27,0,0.0904408,0.0280136,0.000889216,3.08364e-06,0,2.90026e-08,1.1912e-10,5.40972e-78,0,2.859e-50,1.54366e-38,0.0439697,1.87628e-28,4.1449e-05,7.89817e-16,6.51508e-21,3.79375e-31,
2375,0.836635,4.39536e-27,0,0.0904341,0.0280137,0.000889283,2.83525e-06,0,2.90026e-08,1.1191e-10,4.96919e-78,0,2.85757e-50,1.44675e-38,0.043974,1.87653e-28,4.13656e-05,7.93079e-16,6.50664e-21,3.79358e-31,
2376,0.836638,4.04986e-27,0,0.0904272,0.0280139,0.00088935,2.60687e-06,0,2.90026e-08,1.05137e-10,4.56453e-78,0,2.85614e-50,1.35592e-38,0.0439783,1.87678e-28,4.12823e-05,7.96354e-16,6.49823e-21,3.79341e-31,
2377,0.836642,3.73153e-27,0,0.0904203,0.028014,0.000889416,2.39689e-06,0,2.90026e-08,9.87731e-11,4.19283e-78,0,2.85471e-50,1.27079e-38,0.0439825,1.87702e-28,4.11994e-05,7.99643e-16,6.48983e-21,3.79323e-31,
2378,0.836645,3.43821e-27,0,0.0904134,0.0280141,0.000889482,2.20382e-06,0,2.90025e-08,9.27947e-11,3.85139e-78,0,2.85329e-50,1.19101e-38,0.0439867,1.87726e-28,4.11166e-05,8.02945e-16,6.48146e-21,3.79305e-31,
2379,0.836648,3.16796e-27,0,0.0904065,0.0280142,0.000889548,2.02631e-06,0,2.90025e-08,8.71781e-11,3.53776e-78,0,2.85186e-50,1.11624e-38,0.043991,1.87751e-28,4.10341e-05,8.06261e-16,6.47311e-21,3.79287e-31,
2380,0.836651,2.91895e-27,0,0.0903995,0.0280143,0.000889614,1.86309e-06,0,2.90025e-08,8.19014e-11,3.24968e-78,0,2.85044e-50,1.04617e-38,0.0439952,1.87775e-28,4.09518e-05,8.09592e-16,6.46478e-21,3.79269e-31,
2381,0.836654,2.68951e-27,0,0.0903926,0.0280144,0.00088968,1.71303e-06,0,2.90024e-08,7.69441e-11,2.98505e-78,0,2.84901e-50,9.80488e-39,0.0439994,1.87799e-28,4.08698e-05,8.12936e-16,6.45647e-21,3.79251e-31,
