CURE,Memory-one
2.21406344,2.21407114
2.25266522,2.25267272
2.28458356,2.28459126
2.30890431,2.30891211
1.11268001,1.11269221
1.56538537,1.56539377
1.82819722,1.82820577
1.98607068,1.98607858
2.09083706,2.09084486
2.16548893,2.16549678
2.22183204,2.22183979
2.26543575,2.26544345
2.30039668,2.30040418
2.32909736,2.32910506
2.35081511,2.35082281
1.14056671,1.14057811
1.64941941,1.64942816
1.91642254,1.91643054
2.06743267,2.06744037
2.16498872,2.16499637
2.2329094,2.23291675
2.28307039,2.28307794
2.32141833,2.32142563
2.35200067,2.35200832
2.37672218,2.37672943
2.39534008,2.39534703
1.18392392,1.18393427
1.7604956,1.7605043
2.02469833,2.02470643
2.16409636,2.16410401
2.24989294,2.24990024
2.30814976,2.30815711
2.3503266,2.350334
2.38239103,2.38239838
2.40761302,2.40762032
2.42782356,2.42783071
2.44294344,2.44295059
1.26195894,1.26196929
1.91831042,1.91831857
2.16158007,2.16158782
2.27878511,2.27879271
2.34764375,2.347651
2.39309321,2.39310061
2.4251057,2.42511255
2.44925678,2.44926398
2.46794347,2.46795077
2.48274174,2.48274904
2.4937537,2.49376065
1.44199292,1.44200282
2.15644584,2.15645369
2.34036834,2.34037619
2.41867677,2.41868387
2.46198127,2.46198797
2.48965406,2.48966091
2.50873514,2.50874219
2.52275138,2.52275863
2.53357847,2.53358562
2.54209776,2.54210446
2.54830585,2.5483128
2.09445912,2.09446717
2.50434085,2.5043478
2.55478651,2.55479376
2.57317561,2.57318251
2.58260121,2.58260756
2.58854385,2.5885505
2.59253821,2.59254531
2.59548189,2.59548829
2.5977522,2.5977591
2.59952164,2.59952834
2.60083741,2.60084446
1.05908333,1.05909978
1.35968843,1.35969788
1.58207656,1.58208586
1.73815327,1.73816242
1.85363316,1.85364151
1.9428623,1.94287065
2.01354992,2.01355807
2.07104526,2.07105321
2.11876888,2.11877678
2.15897316,2.15898146
2.19014727,2.19015512
1.06611943,1.06613578
1.38753706,1.38754706
1.61843558,1.61844428
1.77673214,1.77674044
1.89227127,1.89227952
1.98023981,1.98024811
2.04948582,2.04949417
2.10533197,2.10533987
2.15130345,2.15131105
2.18995857,2.18996627
2.21980229,2.21980934
1.07553939,1.07555374
1.42382813,1.42383808
1.66431746,1.66432626
1.82463306,1.82464171
1.93916196,1.93917036
2.02527487,2.02528317
2.09229135,2.0922995
2.14593945,2.14594705
2.18983504,2.18984284
2.22638613,2.22639333
2.25449398,2.25450128
1.08748622,1.08749992
1.46759322,1.46760247
1.71731444,1.71732339
1.87883137,1.87884017
1.99134166,1.99134986
2.07474557,2.07475352
2.13875442,2.13876197
2.18943843,2.18944648
2.23076128,2.23076873
2.26507148,2.26507888
2.2911712,2.2911791
1.10312285,1.10313605
1.52106647,1.52107572
1.77964649,1.77965504
1.94017558,1.94018403
2.0496152,2.04962365
2.12874495,2.128753
2.18925323,2.18926113
2.2365831,2.2365909
2.2747192,2.2747267
2.30608212,2.30608937
2.33002764,2.33003489
1.12413802,1.12414972
1.58768668,1.58769563
1.8527748,1.8527832
2.01048538,2.01049383
2.1146209,2.1146286
2.18870941,2.18871686
2.24425879,2.24426699
2.28745393,2.28746138
2.32192361,2.32193136
2.34996129,2.34996874
2.37122205,2.37122945
1.15473597,1.15474712
1.67308591,1.67309491
1.94162936,1.94163786
2.09213327,2.09214107
2.18816227,2.18817027
2.25526716,2.25527501
2.30474632,2.30475327
2.34270443,2.34271153
2.372504,2.37251175
2.39670048,2.39670808
2.4150762,2.4150832
1.20249135,1.20250175
1.78675058,1.78675918
2.04996486,2.04997296
2.18771908,2.18772698
2.27239572,2.27240292
2.32950617,2.32951357
2.37105183,2.37105878
2.40249482,2.40250232
2.42715148,2.42715853
2.44681333,2.44682028
2.46169898,2.46170613
1.28673507,1.28674587
1.94492604,1.94493499
2.18612196,2.18612946
2.30126349,2.30127064
2.36874039,2.36874764
2.41290189,2.41290899
2.44446407,2.44447132
2.4679241,2.4679315
2.48610025,2.48610735
2.50052533,2.50053193
2.51131529,2.51132234
1.47794468,1.47795458
2.18165849,2.18166614
2.36192395,2.3619313
2.43821564,2.43822259
2.48068796,2.48069531
2.50736301,2.50737006
2.52587335,2.52588
2.53959936,2.53960601
2.55001711,2.55002386
2.55828925,2.55829585
2.56448112,2.56448812
2.13789966,2.13790731
2.52226141,2.52226836
2.57077247,2.57077972
2.58869104,2.58869809
2.59789535,2.5979021
2.60356916,2.60357611
2.60749469,2.60750139
2.61032348,2.61033068
2.61250354,2.61251099
2.61423366,2.61424041
2.61551158,2.61551843
1.06494109,1.06495679
1.37495141,1.37496136
1.60216416,1.60217351
1.7602088,1.7602174
1.87657321,1.87658156
1.96572614,1.96573444
2.03645423,2.03646228
2.09360072,2.09360872
2.14107565,2.1410833
2.18094385,2.18095155
2.21176166,2.21176876
1.07257079,1.07258374
1.403929,1.40393865
1.63922672,1.63923552
1.79925115,1.79925955
1.9152508,1.9152591
2.00317805,2.0031863
2.07214081,2.07214891
2.12770686,2.12771466
2.17343251,2.17344031
2.21169292,2.21170072
2.24116916,2.24117731
1.08286928,1.08288233
1.44176946,1.44177871
1.68589506,1.68590376
1.84749905,1.8475076
1.96262064,1.96262844
2.04824583,2.04825323
2.11493495,2.11494285
2.16806324,2.16807114
2.21151074,2.21151824
2.24770868,2.24771613
2.27542878,2.27543633
1.09601128,1.09602523
1.48680682,1.48681617
1.74004013,1.74004888
1.90193894,1.90194739
2.0145601,2.0145682
2.0974314,2.0974391
2.16115766,2.16116531
2.21148037,2.21148832
2.25216141,2.25216856
2.28590001,2.28590741
2.31170988,2.31171763
1.11317538,1.11318783
1.54132093,1.54132998
1.80278532,1.80279377
1.96358518,1.96359358
2.07271793,2.07272578
2.1514955,2.151503
2.21128289,2.21129019
2.25811435,2.25812235
2.2956673,2.2956748
2.32646574,2.32647329
2.34999676,2.35000426
1.1358992,1.1359109
1.60988794,1.60989674
1.87696615,1.8769744
2.03396636,2.03397441
2.13761253,2.13762068
2.2110598,2.21106735
2.26577055,2.26577835
2.30821842,2.30822547
2.34200126,2.34200901
2.36960239,2.36960939
2.39054157,2.39054892
1.16963757,1.16964847
1.69657829,1.69658679
1.96561289,1.96562104
2.11497987,2.11498792
2.21069108,2.21069873
2.27668489,2.27669289
2.32525799,2.32526564
2.36248561,2.36249321
2.3917602,2.3917671
2.41557501,2.41558186
2.4334772,2.4334843
1.22096461,1.22097501
1.81203746,1.81204606
2.07412119,2.07412899
2.21011818,2.21012573
2.29329065,2.29329825
2.34991317,2.34992062
2.39068004,2.39068764
2.42127707,2.42128407
2.44538176,2.44538891
2.46475928,2.46476628
2.47910603,2.47911293
1.31119094,1.31120094
1.97141984,1.97142844
2.20925523,2.20926268
2.32240096,2.32240851
2.38837875,2.38838605
2.43168847,2.43169577
2.46253668,2.46254403
2.48537858,2.48538543
2.50303072,2.50303767
2.51719742,2.51720397
2.52766648,2.52767373
1.51428082,1.51429027
2.20687189,2.20687949
2.38262904,2.38263669
2.45681091,2.45681756
2.49791504,2.49792169
2.52401717,2.52402387
2.54204732,2.54205417
2.55531953,2.55532608
2.56540186,2.56540861
2.57351756,2.57352441
2.57949501,2.57950211
2.17977034,2.17977809
2.53951288,2.53952003
2.58603866,2.58604531
2.60318192,2.60318882
2.61203685,2.6120435
2.61762611,2.61763301
2.62135468,2.62136173
2.62407904,2.62408554
2.62620759,2.62621419
2.62786364,2.62787014
2.62914568,2.62915223
1.07083323,1.07084893
1.39029455,1.3903043
1.62184778,1.62185638
1.78130509,1.78131344
1.89855835,1.89856685
1.9878045,1.9878128
2.05816896,2.05817716
2.1151993,2.11520715
2.16227635,2.1622837
2.20184085,2.2018485
2.23233865,2.23234635
1.07924117,1.07925532
1.4201992,1.420209
1.65953417,1.65954297
1.8211321,1.8211408
1.93745863,1.93746703
2.02529539,2.02530359
2.09398344,2.09399159
2.1491878,2.14919555
2.19436399,2.19437174
2.23230788,2.23231533
2.26141314,2.26142054
1.09060669,1.09061984
1.459038,1.4590476
1.70683051,1.70683991
1.86978297,1.86979112
1.98466616,1.98467401
2.07047291,2.07048131
2.13639306,2.13640086
2.18914004,2.18914769
2.2323066,2.2323143
2.26797084,2.26797849
2.29532083,2.29532808
1.10488425,1.1048976
1.50577714,1.50578654
1.7616773,1.761686
1.92433407,1.92434242
2.03685946,2.03686751
2.11952608,2.11953378
2.18237694,2.18238464
2.2322822,2.23228985
2.27243905,2.2724467
2.30579915,2.30580665
2.33112185,2.3311293
1.12336612,1.12337827
1.56178158,1.56179118
1.82520437,1.82521242
1.98599942,1.98600757
2.09462197,2.09462972
2.17303933,2.17304708
2.23224708,2.23225453
2.27817951,2.27818691
2.31525794,2.31526494
2.34577969,2.34578679
2.36880389,2.36881064
1.14875238,1.14876373
1.63137325,1.6313821
1.90015241,1.90016076
2.05670215,2.0567103
2.15946984,2.15947739
2.23207844,2.23208579
2.2859308,2.2859384
2.32778913,2.32779718
2.36103508,2.36104248
2.38807417,2.38808127
2.40864358,2.40865078
1.18445196,1.18446276
1.72005001,1.72005866
1.9891849,1.9891928
2.13763706,2.13764506
2.23185574,2.23186329
2.29697416,2.29698136
2.3446751,2.3446828
2.38121351,2.38122081
2.41003566,2.41004231
