TFTCT,allOneMemory
1.0298798799999995,1.03050923
1.2554698649999998,1.2554804150000003
1.4376191300000003,1.4376286799999998
1.5740857099999992,1.5740948099999996
1.6801844899999998,1.6801932399999995
1.765185575,1.7651947249999993
1.834831515000001,1.834839915
1.8930812099999996,1.8930896599999998
1.9422892800000002,1.94229748
1.9846580649999996,1.9846667150000004
2.018022120000001,2.0180305200000004
1.0330042350000002,1.0330657350000003
1.27620295,1.2762128499999996
1.4673850599999994,1.4673946099999993
1.6081021600000005,1.6081114600000006
1.7159188499999996,1.7159276000000008
1.8008931899999994,1.8009021899999995
1.870164785000001,1.8701732850000001
1.9274541549999995,1.9274629549999998
1.9756932550000001,1.975701755000001
2.016960635,2.0169692850000005
2.049338379999999,2.0493465300000007
1.037036005,1.037067655
1.3035227300000003,1.30353273
1.5061783349999993,1.5061876849999998
1.6507574950000004,1.650766394999999
1.7598129999999994,1.7598219999999996
1.8447449849999997,1.8447535850000003
1.9130816050000001,1.9130902050000003
1.96885186,1.9688603100000004
2.015707185,2.0157159350000007
2.0554161149999994,2.0554243649999995
2.08646111,2.0864695099999997
1.0421744849999997,1.0421962850000002
1.3366750600000004,1.3366846099999996
1.5514183499999998,1.55142725
1.7002240199999996,1.7002327700000004
1.8098704999999993,1.8098794499999997
1.893726935,1.893735635000001
1.9601798849999996,1.9601883849999995
2.0143753150000006,2.014383765
2.059069560000001,2.0590781600000008
2.0969217850000006,2.0969298850000007
2.1262355449999997,2.1262434950000006
1.048809165,1.0488269650000002
1.3781670450000005,1.3781766950000005
1.6055723099999986,1.605581809999999
1.7576364700000011,1.7576452699999998
1.8666616350000012,1.8666703350000002
1.9486421149999995,1.9486505149999997
2.0126668,2.012674500000001
2.0641019949999997,2.0641103450000005
2.1064215799999992,2.10643013
2.141835055,2.1418434050000004
2.1690680349999996,2.1690764849999997
1.0580689249999997,1.0580839750000006
1.4310911050000001,1.431100505
1.671725845,1.671734695
1.8252733999999993,1.8252824
1.9321854500000004,1.9321940499999999
2.0108569249999997,2.0108650249999998
2.0711512350000008,2.071159935
2.119104505,2.1191130549999992
2.1580654099999994,2.158073160000001
2.190501735,2.190509335
2.2153021349999995,2.2153105349999995
1.071821495,1.0718343950000002
1.5014023600000002,1.5014113100000004
1.7537713549999998,1.7537802050000004
1.9063373000000012,1.9063456499999996
2.0083186000000004,2.008327149999999
2.08155341,2.08156151
2.13694069,2.1369489899999996
2.180044145,2.1800525450000006
2.2148343899999987,2.21484204
2.2436111949999997,2.243619344999999
2.2653862300000007,2.265394330000001
1.0935551550000002,1.0935671050000002
1.5989318550000002,1.598941405
1.859291705,1.8593001549999997
2.00475308,2.00476123
2.09815527,2.09816327
2.163074095000001,2.1630823949999995
2.2110714899999993,2.2110798899999997
2.24815794,2.2481657900000003
2.277558059999999,2.2775655599999998
2.301479445,2.3014873949999997
2.3196402649999994,2.3196479649999997
1.1342652249999998,1.1342765250000002
1.7445488099999995,1.744557660000001
1.998709370000001,1.99871767
2.1274060800000005,2.127414130000001
2.20544684,2.20545489
2.25782702,2.25783467
2.2956994000000006,2.2957068000000005
2.3243930249999996,2.324400925
2.3469607850000007,2.346968935000001
2.365238025,2.3652460250000003
2.37891895,2.3789265499999988
1.2374363799999997,1.2374464299999999
1.9817526850000005,1.9817610849999996
2.1918337699999992,2.1918414199999994
2.2840838499999996,2.2840914999999993
2.335913315,2.335921415
2.3694490499999996,2.3694569499999996
2.392917189999999,2.3929245899999994
2.41060176,2.4106093600000005
2.42436237,2.42436982
2.4353555,2.435363100000001
2.4436079499999996,2.4436155499999996
1.7660939499999995,1.7661029000000001
2.3777143,2.3777218999999996
2.443474615,2.4434823649999995
2.4674150450000005,2.467422945
2.480096585,2.4801034849999994
2.4881900350000006,2.4881979350000005
2.4939503049999994,2.4939577550000003
2.4983947750000004,2.4984026249999998
2.5019818399999996,2.5019898400000002
2.504999545,2.5050072449999994
2.5073746150000003,2.5073817649999994
1.032993615,1.033065715
1.2794088650000004,1.2794186650000001
1.4761192099999993,1.4761287099999998
1.62228691,1.6222963100000003
1.7349728050000004,1.7349817549999995
1.82492809,1.824937190000001
1.8979236750000006,1.8979323750000003
1.9589252500000003,1.9589337500000001
2.0104093400000007,2.01041739
2.0543808000000006,2.05438905
2.089077674999999,2.089086474999999
1.03654428,1.03657798
1.3022263349999996,1.3022364849999999
1.5084210249999992,1.5084305249999996
1.658562394999999,1.658571245
1.772699570000001,1.7727089199999997
1.8626537199999995,1.86266232
1.9350955849999993,1.9351042850000004
1.9950110949999995,1.9950192949999999
2.045307625,2.0453157749999997
2.08818733,2.088195579999999
2.12174725,2.1217559500000007
1.0413351649999998,1.0413599150000004
1.3318797850000001,1.331889285
1.5498845099999992,1.5498937099999999
1.704397725,1.704406525
1.8194981050000008,1.8195070050000006
1.9087072150000008,1.9087160149999998
1.9800286299999994,1.9800373799999997
2.0385057900000003,2.038514190000001
2.0870074599999997,2.0870157599999994
2.1281861150000005,2.128194565
2.1601995700000005,2.1602080200000002
1.0475040450000002,1.0475240450000003
1.3682960700000002,1.3683058700000004
1.5986613500000002,1.5986707000000002
1.7568861299999998,1.7568950799999998
1.8721093999999996,1.8721181500000006
1.9603095949999993,1.9603176449999997
2.0295652749999995,2.0295737250000006
2.085866789999999,2.0858754900000003
2.13224797,2.1322561199999996
2.1712222800000003,2.17123038
2.201562280000001,2.2015706799999997
1.0555324449999999,1.0555488450000003
1.413454725,1.4134643749999998
1.6569099299999994,1.6569192799999994
1.817716754999999,1.8177257549999992
1.9320637600000001,1.93207221
2.017655845,2.0176642950000003
2.0844772599999994,2.0844856100000007
2.137569425,2.137577725000001
2.1812046599999992,2.1812130099999996
2.217788655,2.2177963550000004
2.245770915000001,2.2457790150000005
1.0666415,1.0666551000000002
1.471024285,1.471033685
1.727335825,1.7273450249999995
1.889058335,1.8890665349999998
2.001072314999999,2.0010808149999995
2.0826015950000003,2.0826099449999997
